element_id,node_1,node_2,section_id,group,length_mm
1,1,2,2,SPINE_FRAME,918.440
2,2,3,2,SPINE_FRAME,918.440
3,3,4,2,SPINE_FRAME,918.440
4,4,5,2,SPINE_FRAME,918.440
5,5,6,2,SPINE_FRAME,918.440
6,6,7,2,SPINE_FRAME,918.440
7,7,8,2,SPINE_FRAME,918.440
8,8,1,2,SPINE_FRAME,918.440
9,1,9,1,SPINE_LONGERON,2500.000
10,1,10,3,SPINE_DIAGONAL,2663.369
11,2,10,1,SPINE_LONGERON,2500.000
12,2,11,3,SPINE_DIAGONAL,2663.369
13,3,11,1,SPINE_LONGERON,2500.000
14,3,12,3,SPINE_DIAGONAL,2663.369
15,4,12,1,SPINE_LONGERON,2500.000
16,4,13,3,SPINE_DIAGONAL,2663.369
17,5,13,1,SPINE_LONGERON,2500.000
18,5,14,3,SPINE_DIAGONAL,2663.369
19,6,14,1,SPINE_LONGERON,2500.000
20,6,15,3,SPINE_DIAGONAL,2663.369
21,7,15,1,SPINE_LONGERON,2500.000
22,7,16,3,SPINE_DIAGONAL,2663.369
23,8,16,1,SPINE_LONGERON,2500.000
24,8,9,3,SPINE_DIAGONAL,2663.369
25,9,10,2,SPINE_FRAME,918.440
26,10,11,2,SPINE_FRAME,918.440
27,11,12,2,SPINE_FRAME,918.440
28,12,13,2,SPINE_FRAME,918.440
29,13,14,2,SPINE_FRAME,918.440
30,14,15,2,SPINE_FRAME,918.440
31,15,16,2,SPINE_FRAME,918.440
32,16,9,2,SPINE_FRAME,918.440
33,9,17,1,SPINE_LONGERON,2500.000
34,9,24,3,SPINE_DIAGONAL,2663.369
35,10,18,1,SPINE_LONGERON,2500.000
36,10,17,3,SPINE_DIAGONAL,2663.369
37,11,19,1,SPINE_LONGERON,2500.000
38,11,18,3,SPINE_DIAGONAL,2663.369
39,12,20,1,SPINE_LONGERON,2500.000
40,12,19,3,SPINE_DIAGONAL,2663.369
41,13,21,1,SPINE_LONGERON,2500.000
42,13,20,3,SPINE_DIAGONAL,2663.369
43,14,22,1,SPINE_LONGERON,2500.000
44,14,21,3,SPINE_DIAGONAL,2663.369
45,15,23,1,SPINE_LONGERON,2500.000
46,15,22,3,SPINE_DIAGONAL,2663.369
47,16,24,1,SPINE_LONGERON,2500.000
48,16,23,3,SPINE_DIAGONAL,2663.369
49,17,18,2,SPINE_FRAME,918.440
50,18,19,2,SPINE_FRAME,918.440
51,19,20,2,SPINE_FRAME,918.440
52,20,21,2,SPINE_FRAME,918.440
53,21,22,2,SPINE_FRAME,918.440
54,22,23,2,SPINE_FRAME,918.440
55,23,24,2,SPINE_FRAME,918.440
56,24,17,2,SPINE_FRAME,918.440
57,17,25,1,SPINE_LONGERON,2500.000
58,17,26,3,SPINE_DIAGONAL,2663.369
59,18,26,1,SPINE_LONGERON,2500.000
60,18,27,3,SPINE_DIAGONAL,2663.369
61,19,27,1,SPINE_LONGERON,2500.000
62,19,28,3,SPINE_DIAGONAL,2663.369
63,20,28,1,SPINE_LONGERON,2500.000
64,20,29,3,SPINE_DIAGONAL,2663.369
65,21,29,1,SPINE_LONGERON,2500.000
66,21,30,3,SPINE_DIAGONAL,2663.369
67,22,30,1,SPINE_LONGERON,2500.000
