element_id,node_1,node_2,section_id,group,length_mm
1,1,2,2,SPINE_FRAME,1377.6603565143232
2,2,3,2,SPINE_FRAME,1377.6603565143232
3,3,4,2,SPINE_FRAME,1377.6603565143232
4,4,5,2,SPINE_FRAME,1377.6603565143232
5,5,6,2,SPINE_FRAME,1377.6603565143232
6,6,7,2,SPINE_FRAME,1377.6603565143232
7,7,8,2,SPINE_FRAME,1377.6603565143232
8,8,1,2,SPINE_FRAME,1377.6603565143232
9,1,9,1,SPINE_LONGERON,2500.0
10,1,10,3,SPINE_DIAGONAL,2854.461080118482
11,2,10,1,SPINE_LONGERON,2500.0
12,2,11,3,SPINE_DIAGONAL,2854.461080118482
13,3,11,1,SPINE_LONGERON,2500.0
14,3,12,3,SPINE_DIAGONAL,2854.461080118482
15,4,12,1,SPINE_LONGERON,2500.0
16,4,13,3,SPINE_DIAGONAL,2854.461080118482
17,5,13,1,SPINE_LONGERON,2500.0
18,5,14,3,SPINE_DIAGONAL,2854.461080118482
19,6,14,1,SPINE_LONGERON,2500.0
20,6,15,3,SPINE_DIAGONAL,2854.461080118482
21,7,15,1,SPINE_LONGERON,2500.0
22,7,16,3,SPINE_DIAGONAL,2854.461080118482
23,8,16,1,SPINE_LONGERON,2500.0
24,8,9,3,SPINE_DIAGONAL,2854.461080118482
25,9,10,2,SPINE_FRAME,1377.6603565143232
26,10,11,2,SPINE_FRAME,1377.6603565143232
27,11,12,2,SPINE_FRAME,1377.6603565143232
28,12,13,2,SPINE_FRAME,1377.6603565143232
29,13,14,2,SPINE_FRAME,1377.6603565143232
30,14,15,2,SPINE_FRAME,1377.6603565143232
31,15,16,2,SPINE_FRAME,1377.6603565143232
32,16,9,2,SPINE_FRAME,1377.6603565143232
33,9,17,1,SPINE_LONGERON,2500.0
34,9,24,3,SPINE_DIAGONAL,2854.461080118482
35,10,18,1,SPINE_LONGERON,2500.0
36,10,17,3,SPINE_DIAGONAL,2854.461080118482
37,11,19,1,SPINE_LONGERON,2500.0
38,11,18,3,SPINE_DIAGONAL,2854.461080118482
39,12,20,1,SPINE_LONGERON,2500.0
40,12,19,3,SPINE_DIAGONAL,2854.461080118482
41,13,21,1,SPINE_LONGERON,2500.0
42,13,20,3,SPINE_DIAGONAL,2854.461080118482
43,14,22,1,SPINE_LONGERON,2500.0
44,14,21,3,SPINE_DIAGONAL,2854.461080118482
45,15,23,1,SPINE_LONGERON,2500.0
46,15,22,3,SPINE_DIAGONAL,2854.461080118482
47,16,24,1,SPINE_LONGERON,2500.0
48,16,23,3,SPINE_DIAGONAL,2854.461080118482
49,17,18,2,SPINE_FRAME,1377.6603565143232
50,18,19,2,SPINE_FRAME,1377.6603565143232
51,19,20,2,SPINE_FRAME,1377.6603565143232
52,20,21,2,SPINE_FRAME,1377.6603565143232
53,21,22,2,SPINE_FRAME,1377.6603565143232
54,22,23,2,SPINE_FRAME,1377.6603565143232
55,23,24,2,SPINE_FRAME,1377.6603565143232
56,24,17,2,SPINE_FRAME,1377.6603565143232
57,17,25,1,SPINE_LONGERON,2500.0
58,17,26,3,SPINE_DIAGONAL,2854.461080118482
59,18,26,1,SPINE_LONGERON,2500.0
60,18,27,3,SPINE_DIAGONAL,2854.461080118482
61,19,27,1,SPINE_LONGERON,2500.0
62,19,28,3,SPINE_DIAGONAL,2854.461080118482
63,20,28,1,SPINE_LONGERON,2500.0
64,20,29,3,SPINE_DIAGONAL,2854.461080118482
65,21,29,1,SPINE_LONGERON,2500.0
66,21,30,3,SPINE_DIAGONAL,2854.461080118482
67,22,30,1,SPINE_LONGERON,2500.0
68,22,31,3,SPINE_DIAGONAL,2854.461080118482
69,23,31,1,SPINE_LONGERON,2500.0
70,23,32,3,SPINE_DIAGONAL,2854.461080118482
71,24,32,1,SPINE_LONGERON,2500.0
72,24,25,3,SPINE_DIAGONAL,2854.461080118482
73,25,26,2,SPINE_FRAME,1377.6603565143232
74,26,27,2,SPINE_FRAME,1377.6603565143232
75,27,28,2,SPINE_FRAME,1377.6603565143232
76,28,29,2,SPINE_FRAME,1377.6603565143232
77,29,30,2,SPINE_FRAME,1377.6603565143232
78,30,31,2,SPINE_FRAME,1377.6603565143232
79,31,32,2,SPINE_FRAME,1377.6603565143232
80,32,25,2,SPINE_FRAME,1377.6603565143232
81,25,33,1,SPINE_LONGERON,2500.0
82,25,40,3,SPINE_DIAGONAL,2854.461080118482
83,26,34,1,SPINE_LONGERON,2500.0
84,26,33,3,SPINE_DIAGONAL,2854.461080118482
