node_id,x_mm,y_mm,z_mm,group
1,-21000.0,1800.0,0.0,SPINE
2,-21000.0,1272.7922061357856,1272.7922061357856,SPINE
3,-21000.0,0.0,1800.0,SPINE
4,-21000.0,-1272.7922061357856,1272.7922061357856,SPINE
5,-21000.0,-1800.0,0.0,SPINE
6,-21000.0,-1272.7922061357856,-1272.7922061357856,SPINE
7,-21000.0,-0.0,-1800.0,SPINE
8,-21000.0,1272.7922061357856,-1272.7922061357856,SPINE
9,-18500.0,1800.0,0.0,SPINE
10,-18500.0,1272.7922061357856,1272.7922061357856,SPINE
11,-18500.0,0.0,1800.0,SPINE
12,-18500.0,-1272.7922061357856,1272.7922061357856,SPINE
13,-18500.0,-1800.0,0.0,SPINE
14,-18500.0,-1272.7922061357856,-1272.7922061357856,SPINE
15,-18500.0,-0.0,-1800.0,SPINE
16,-18500.0,1272.7922061357856,-1272.7922061357856,SPINE
17,-16000.0,1800.0,0.0,SPINE
18,-16000.0,1272.7922061357856,1272.7922061357856,SPINE
19,-16000.0,0.0,1800.0,SPINE
20,-16000.0,-1272.7922061357856,1272.7922061357856,SPINE
21,-16000.0,-1800.0,0.0,SPINE
22,-16000.0,-1272.7922061357856,-1272.7922061357856,SPINE
23,-16000.0,-0.0,-1800.0,SPINE
24,-16000.0,1272.7922061357856,-1272.7922061357856,SPINE
25,-13500.0,1800.0,0.0,SPINE
26,-13500.0,1272.7922061357856,1272.7922061357856,SPINE
27,-13500.0,0.0,1800.0,SPINE
28,-13500.0,-1272.7922061357856,1272.7922061357856,SPINE
29,-13500.0,-1800.0,0.0,SPINE
30,-13500.0,-1272.7922061357856,-1272.7922061357856,SPINE
31,-13500.0,-0.0,-1800.0,SPINE
32,-13500.0,1272.7922061357856,-1272.7922061357856,SPINE
33,-11000.0,1800.0,0.0,SPINE
34,-11000.0,1272.7922061357856,1272.7922061357856,SPINE
35,-11000.0,0.0,1800.0,SPINE
36,-11000.0,-1272.7922061357856,1272.7922061357856,SPINE
37,-11000.0,-1800.0,0.0,SPINE
38,-11000.0,-1272.7922061357856,-1272.7922061357856,SPINE
39,-11000.0,-0.0,-1800.0,SPINE
40,-11000.0,1272.7922061357856,-1272.7922061357856,SPINE
41,-8500.0,1800.0,0.0,SPINE
42,-8500.0,1272.7922061357856,1272.7922061357856,SPINE
43,-8500.0,0.0,1800.0,SPINE
44,-8500.0,-1272.7922061357856,1272.7922061357856,SPINE
45,-8500.0,-1800.0,0.0,SPINE
46,-8500.0,-1272.7922061357856,-1272.7922061357856,SPINE
47,-8500.0,-0.0,-1800.0,SPINE
48,-8500.0,1272.7922061357856,-1272.7922061357856,SPINE
49,-6000.0,1800.0,0.0,SPINE
50,-6000.0,1272.7922061357856,1272.7922061357856,SPINE
51,-6000.0,0.0,1800.0,SPINE
52,-6000.0,-1272.7922061357856,1272.7922061357856,SPINE
53,-6000.0,-1800.0,0.0,SPINE
54,-6000.0,-1272.7922061357856,-1272.7922061357856,SPINE
55,-6000.0,-0.0,-1800.0,SPINE
56,-6000.0,1272.7922061357856,-1272.7922061357856,SPINE
57,-3500.0,1800.0,0.0,SPINE
58,-3500.0,1272.7922061357856,1272.7922061357856,SPINE
59,-3500.0,0.0,1800.0,SPINE
60,-3500.0,-1272.7922061357856,1272.7922061357856,SPINE
61,-3500.0,-1800.0,0.0,SPINE
62,-3500.0,-1272.7922061357856,-1272.7922061357856,SPINE
63,-3500.0,-0.0,-1800.0,SPINE
64,-3500.0,1272.7922061357856,-1272.7922061357856,SPINE
65,-2500.0,1800.0,0.0,SPINE
66,-2500.0,1272.7922061357856,1272.7922061357856,SPINE
67,-2500.0,0.0,1800.0,SPINE
68,-2500.0,-1272.7922061357856,1272.7922061357856,SPINE
69,-2500.0,-1800.0,0.0,SPINE
70,-2500.0,-1272.7922061357856,-1272.7922061357856,SPINE
71,-2500.0,-0.0,-1800.0,SPINE
72,-2500.0,1272.7922061357856,-1272.7922061357856,SPINE
73,-1000.0,1800.0,0.0,SPINE
74,-1000.0,1272.7922061357856,1272.7922061357856,SPINE
75,-1000.0,0.0,1800.0,SPINE
76,-1000.0,-1272.7922061357856,1272.7922061357856,SPINE
77,-1000.0,-1800.0,0.0,SPINE
78,-1000.0,-1272.7922061357856,-1272.7922061357856,SPINE
79,-1000.0,-0.0,-1800.0,SPINE
80,-1000.0,1272.7922061357856,-1272.7922061357856,SPINE
81,1500.0,1800.0,0.0,SPINE
82,1500.0,1272.7922061357856,1272.7922061357856,SPINE
83,1500.0,0.0,1800.0,SPINE
84,1500.0,-1272.7922061357856,1272.7922061357856,SPINE
85,1500.0,-1800.0,0.0,SPINE
86,1500.0,-1272.7922061357856,-1272.7922061357856,SPINE
87,1500.0,-0.0,-1800.0,SPINE
88,1500.0,1272.7922061357856,-1272.7922061357856,SPINE
89,2500.0,1800.0,0.0,SPINE
90,2500.0,1272.7922061357856,1272.7922061357856,SPINE
91,2500.0,0.0,1800.0,SPINE
92,2500.0,-1272.7922061357856,1272.7922061357856,SPINE
93,2500.0,-1800.0,0.0,SPINE
94,2500.0,-1272.7922061357856,-1272.7922061357856,SPINE
95,2500.0,-0.0,-1800.0,SPINE
96,2500.0,1272.7922061357856,-1272.7922061357856,SPINE
97,4000.0,1800.0,0.0,SPINE
98,4000.0,1272.7922061357856,1272.7922061357856,SPINE
99,4000.0,0.0,1800.0,SPINE
100,4000.0,-1272.7922061357856,1272.7922061357856,SPINE
101,4000.0,-1800.0,0.0,SPINE
102,4000.0,-1272.7922061357856,-1272.7922061357856,SPINE
103,4000.0,-0.0,-1800.0,SPINE
104,4000.0,1272.7922061357856,-1272.7922061357856,SPINE
105,6500.0,1800.0,0.0,SPINE
106,6500.0,1272.7922061357856,1272.7922061357856,SPINE
107,6500.0,0.0,1800.0,SPINE
108,6500.0,-1272.7922061357856,1272.7922061357856,SPINE
109,6500.0,-1800.0,0.0,SPINE
110,6500.0,-1272.7922061357856,-1272.7922061357856,SPINE
111,6500.0,-0.0,-1800.0,SPINE
112,6500.0,1272.7922061357856,-1272.7922061357856,SPINE
113,9000.0,1800.0,0.0,SPINE
114,9000.0,1272.7922061357856,1272.7922061357856,SPINE
115,9000.0,0.0,1800.0,SPINE
116,9000.0,-1272.7922061357856,1272.7922061357856,SPINE
117,9000.0,-1800.0,0.0,SPINE
118,9000.0,-1272.7922061357856,-1272.7922061357856,SPINE
119,9000.0,-0.0,-1800.0,SPINE
120,9000.0,1272.7922061357856,-1272.7922061357856,SPINE
121,11500.0,1800.0,0.0,SPINE
122,11500.0,1272.7922061357856,1272.7922061357856,SPINE
123,11500.0,0.0,1800.0,SPINE
124,11500.0,-1272.7922061357856,1272.7922061357856,SPINE
125,11500.0,-1800.0,0.0,SPINE
126,11500.0,-1272.7922061357856,-1272.7922061357856,SPINE
127,11500.0,-0.0,-1800.0,SPINE
128,11500.0,1272.7922061357856,-1272.7922061357856,SPINE
129,14000.0,1800.0,0.0,SPINE
130,14000.0,1272.7922061357856,1272.7922061357856,SPINE
131,14000.0,0.0,1800.0,SPINE
132,14000.0,-1272.7922061357856,1272.7922061357856,SPINE
133,14000.0,-1800.0,0.0,SPINE
134,14000.0,-1272.7922061357856,-1272.7922061357856,SPINE
135,14000.0,-0.0,-1800.0,SPINE
136,14000.0,1272.7922061357856,-1272.7922061357856,SPINE
137,15000.0,1800.0,0.0,SPINE
138,15000.0,1272.7922061357856,1272.7922061357856,SPINE
139,15000.0,0.0,1800.0,SPINE
140,15000.0,-1272.7922061357856,1272.7922061357856,SPINE
141,15000.0,-1800.0,0.0,SPINE
142,15000.0,-1272.7922061357856,-1272.7922061357856,SPINE
143,15000.0,-0.0,-1800.0,SPINE
144,15000.0,1272.7922061357856,-1272.7922061357856,SPINE
145,16500.0,1800.0,0.0,SPINE
146,16500.0,1272.7922061357856,1272.7922061357856,SPINE
147,16500.0,0.0,1800.0,SPINE
148,16500.0,-1272.7922061357856,1272.7922061357856,SPINE
