section_id,name,outer_diameter_mm,wall_mm,inner_diameter_mm,area_mm2,I_mm4,J_mm4,radius_gyration_mm,total_length_mm,estimated_mass_kg
1,LONGERON_OPT_160X6,160.0,6.0,148.0,2902.831611916969,8618507.05578148,17237014.11156296,54.488530903301104,336000.0,2740.737494707526
2,FRAME_OPT_130X5,130.0,5.0,120.0,1963.4954084936207,3841087.8928656457,7682175.785731291,44.22951503238533,231446.9398944063,1276.9904606571097
3,DIAGONAL_OPT_100X4,100.0,4.0,92.0,1206.3715789784806,1392152.8021411665,2784305.604282333,33.97057550292606,406028.19934345596,1376.3966726644294
4,RING_BEAM,200.0,6.0,188.0,3656.814,17219936.414,34439872.828,68.622,149079.7710878414,1531.891153226586
5,RING_SPOKE,120.0,5.0,110.0,1806.416,2991876.129,5983752.257,40.697,254400.0088560183,1291.3418123774054
6,INTERFACE_BOOM,140.0,5.0,130.0,2120.575,4837561.813,9675123.625,47.762,34249.66322801886,204.08743267531455
7,DOCK_FRAME,140.0,5.0,130.0,2120.575,4837561.813,9675123.625,47.762,13514.612017786243,80.53108294672393
8,RING_TORQUE_BRACE_90X4,90.0,4.0,82.0,1080.7078728348888,1001275.8441815245,2002551.688363049,30.438462510448847,507663.2819853894,1541.6663327101721
9,DOCK_LOAD_SPREADER_100X4,100.0,4.0,92.0,1206.3715789784806,1392152.8021411665,2784305.604282333,33.97057550292606,59738.0953702244,202.50641662781453
10,PROP_LONGITUDINAL_STRUT_120X5,120.0,5.0,110.0,1806.415775814131,2991876.1286921543,5983752.257384309,40.697051490249265,34925.29985830691,177.2818115158278
