item_id,subsystem,description,mass_kg,x_m,y_m,z_m,maturity,source
AST-MASS-001,Structure,V0.3 idealised primary beam structure,7742.000,0.0000,0.0000,0.0000,Class IV,V0.3 beam-section estimate
AST-MASS-120,Habitation,Ring 1 pressure and protection sector 1,300.000,-2.5000,12.0000,0.0000,Class IV,Parametric allowance
AST-MASS-121,Habitation,Ring 1 pressure and protection sector 2,300.000,-2.5000,10.3923,6.0000,Class IV,Parametric allowance
AST-MASS-122,Habitation,Ring 1 pressure and protection sector 3,300.000,-2.5000,6.0000,10.3923,Class IV,Parametric allowance
AST-MASS-123,Habitation,Ring 1 pressure and protection sector 4,300.000,-2.5000,0.0000,12.0000,Class IV,Parametric allowance
AST-MASS-124,Habitation,Ring 1 pressure and protection sector 5,300.000,-2.5000,-6.0000,10.3923,Class IV,Parametric allowance
AST-MASS-125,Habitation,Ring 1 pressure and protection sector 6,300.000,-2.5000,-10.3923,6.0000,Class IV,Parametric allowance
AST-MASS-126,Habitation,Ring 1 pressure and protection sector 7,300.000,-2.5000,-12.0000,0.0000,Class IV,Parametric allowance
AST-MASS-127,Habitation,Ring 1 pressure and protection sector 8,300.000,-2.5000,-10.3923,-6.0000,Class IV,Parametric allowance
AST-MASS-128,Habitation,Ring 1 pressure and protection sector 9,300.000,-2.5000,-6.0000,-10.3923,Class IV,Parametric allowance
AST-MASS-129,Habitation,Ring 1 pressure and protection sector 10,300.000,-2.5000,-0.0000,-12.0000,Class IV,Parametric allowance
AST-MASS-130,Habitation,Ring 1 pressure and protection sector 11,300.000,-2.5000,6.0000,-10.3923,Class IV,Parametric allowance
AST-MASS-131,Habitation,Ring 1 pressure and protection sector 12,300.000,-2.5000,10.3923,-6.0000,Class IV,Parametric allowance
AST-MASS-151,Ring mechanism,"Ring 1 bearing, drive and rotary interfaces",1800.000,-2.5000,0.0000,0.0000,Class IV,Subsystem allowance
AST-MASS-140,Habitation,Ring 2 pressure and protection sector 1,300.000,2.5000,12.0000,0.0000,Class IV,Parametric allowance
AST-MASS-141,Habitation,Ring 2 pressure and protection sector 2,300.000,2.5000,10.3923,6.0000,Class IV,Parametric allowance
AST-MASS-142,Habitation,Ring 2 pressure and protection sector 3,300.000,2.5000,6.0000,10.3923,Class IV,Parametric allowance
AST-MASS-143,Habitation,Ring 2 pressure and protection sector 4,300.000,2.5000,0.0000,12.0000,Class IV,Parametric allowance
AST-MASS-144,Habitation,Ring 2 pressure and protection sector 5,300.000,2.5000,-6.0000,10.3923,Class IV,Parametric allowance
AST-MASS-145,Habitation,Ring 2 pressure and protection sector 6,300.000,2.5000,-10.3923,6.0000,Class IV,Parametric allowance
AST-MASS-146,Habitation,Ring 2 pressure and protection sector 7,300.000,2.5000,-12.0000,0.0000,Class IV,Parametric allowance
AST-MASS-147,Habitation,Ring 2 pressure and protection sector 8,300.000,2.5000,-10.3923,-6.0000,Class IV,Parametric allowance
AST-MASS-148,Habitation,Ring 2 pressure and protection sector 9,300.000,2.5000,-6.0000,-10.3923,Class IV,Parametric allowance
AST-MASS-149,Habitation,Ring 2 pressure and protection sector 10,300.000,2.5000,-0.0000,-12.0000,Class IV,Parametric allowance
