element_id,group,section_id,length_m,axial_force_N,torsion_Nm,bending_My_Nm,bending_Mz_Nm,screening_von_mises_MPa,yield_factor,member_euler_factor
1,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
2,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
3,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
4,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
5,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
6,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
7,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
8,SPINE_FRAME,2,0.9184401633029775,0.0,0.0,0.0,0.0,0.0,inf,inf
9,SPINE_LONGERON,1,2.5,0.02679290919536968,-3.0008387905957988e-06,0.00011317524403364208,0.001697593707163693,2.5022571126095153e-05,20101851.143323924,36420931.82949723
10,SPINE_DIAGONAL,3,2.6633686064020505,-0.010618431880483567,1.3720884936098596e-05,-0.00016580289845625706,0.00016554452156066995,2.036242338305089e-05,24702364.278442565,9406968.763681052
11,SPINE_LONGERON,1,2.5,-0.027242938625237863,-1.13500896569789e-07,-0.001604260360556649,0.0016445612488531147,3.071059930174857e-05,16378710.003596729,35819290.00913529
12,SPINE_DIAGONAL,3,2.6633686064020505,0.01099427633382874,1.6418531137509047e-05,-0.0001817216682618657,-8.274759109988489e-06,1.835985872644695e-05,27396724.969100125,9085387.158374107
13,SPINE_LONGERON,1,2.5,0.026971655190479234,2.122052097704787e-05,-0.0017684903468581886,8.604060899522795e-05,2.5727225960966754e-05,19551272.28886432,36179563.783794984
14,SPINE_DIAGONAL,3,2.6633686064020505,-0.01138226608995247,1.4283234483062924e-05,-0.00016232070184251767,-0.0001593537882076094,2.076268662350138e-05,24226151.900335092,8775691.609174205
15,SPINE_LONGERON,1,2.5,-0.026694102164534068,1.4612190006345406e-05,-0.001567638749099549,-0.0016262962887094406,3.0163398971394834e-05,16675839.499289028,36555742.28733387
16,SPINE_DIAGONAL,3,2.6633686064020505,0.01112483907142981,1.306850232821445e-05,-4.6597565282045946e-06,-0.00017892387374385108,1.8345122843067686e-05,27418731.63253716,8978759.7265572
17,SPINE_LONGERON,1,2.5,0.026792909072301266,-3.0008387866518046e-06,-0.00011317524550469211,-0.0016975937063179974,2.5022571076774833e-05,20101851.182945337,36420931.99679024
18,SPINE_DIAGONAL,3,2.6633686064020505,-0.010618431906042522,1.372088494733319e-05,0.00016580289830149043,-0.00016554452145036458,2.0362423398282427e-05,24702364.25996466,9406968.741038134
19,SPINE_LONGERON,1,2.5,-0.027242938654117685,-1.1350089917931752e-07,0.0016042603592875666,-0.0016445612476454607,3.071059929544732e-05,16378710.006957335,35819289.97116382
