mode,frequency_Hz,source
1,0.13078740142420406,Independent Python frame screening; approximate lumped mass
2,0.15659762020582738,Independent Python frame screening; approximate lumped mass
3,0.15659904416592052,Independent Python frame screening; approximate lumped mass
4,0.16996982102983432,Independent Python frame screening; approximate lumped mass
5,0.17749884705362573,Independent Python frame screening; approximate lumped mass
6,0.17750294027565675,Independent Python frame screening; approximate lumped mass
7,0.19598863500694386,Independent Python frame screening; approximate lumped mass
8,0.2219275924973127,Independent Python frame screening; approximate lumped mass
9,0.2870794700934411,Independent Python frame screening; approximate lumped mass
10,0.29745535594973954,Independent Python frame screening; approximate lumped mass
11,0.29850043589492964,Independent Python frame screening; approximate lumped mass
12,0.3830616852908203,Independent Python frame screening; approximate lumped mass
