item_id,subsystem,description,mass_kg,x_m,y_m,z_m,maturity,source
AST-MASS-001,Structure,V0.8 optimised primary beam structure,10423.430670108912,0.0,0.0,0.0,Class IV,V0.8 optimised beam-section estimate
AST-MASS-120,Habitation,Ring 1 pressure and protection sector 1,300.0,-2.5,12.0,0.0,Class IV,Parametric allowance
AST-MASS-121,Habitation,Ring 1 pressure and protection sector 2,300.0,-2.5,10.3923,6.0,Class IV,Parametric allowance
AST-MASS-122,Habitation,Ring 1 pressure and protection sector 3,300.0,-2.5,6.0,10.3923,Class IV,Parametric allowance
AST-MASS-123,Habitation,Ring 1 pressure and protection sector 4,300.0,-2.5,0.0,12.0,Class IV,Parametric allowance
AST-MASS-124,Habitation,Ring 1 pressure and protection sector 5,300.0,-2.5,-6.0,10.3923,Class IV,Parametric allowance
AST-MASS-125,Habitation,Ring 1 pressure and protection sector 6,300.0,-2.5,-10.3923,6.0,Class IV,Parametric allowance
AST-MASS-126,Habitation,Ring 1 pressure and protection sector 7,300.0,-2.5,-12.0,0.0,Class IV,Parametric allowance
AST-MASS-127,Habitation,Ring 1 pressure and protection sector 8,300.0,-2.5,-10.3923,-6.0,Class IV,Parametric allowance
AST-MASS-128,Habitation,Ring 1 pressure and protection sector 9,300.0,-2.5,-6.0,-10.3923,Class IV,Parametric allowance
AST-MASS-129,Habitation,Ring 1 pressure and protection sector 10,300.0,-2.5,-0.0,-12.0,Class IV,Parametric allowance
AST-MASS-130,Habitation,Ring 1 pressure and protection sector 11,300.0,-2.5,6.0,-10.3923,Class IV,Parametric allowance
AST-MASS-131,Habitation,Ring 1 pressure and protection sector 12,300.0,-2.5,10.3923,-6.0,Class IV,Parametric allowance
AST-MASS-151,Ring mechanism,"Ring 1 bearing, drive and rotary interfaces",1800.0,-2.5,0.0,0.0,Class IV,Subsystem allowance
AST-MASS-140,Habitation,Ring 2 pressure and protection sector 1,300.0,2.5,12.0,0.0,Class IV,Parametric allowance
AST-MASS-141,Habitation,Ring 2 pressure and protection sector 2,300.0,2.5,10.3923,6.0,Class IV,Parametric allowance
AST-MASS-142,Habitation,Ring 2 pressure and protection sector 3,300.0,2.5,6.0,10.3923,Class IV,Parametric allowance
AST-MASS-143,Habitation,Ring 2 pressure and protection sector 4,300.0,2.5,0.0,12.0,Class IV,Parametric allowance
AST-MASS-144,Habitation,Ring 2 pressure and protection sector 5,300.0,2.5,-6.0,10.3923,Class IV,Parametric allowance
AST-MASS-145,Habitation,Ring 2 pressure and protection sector 6,300.0,2.5,-10.3923,6.0,Class IV,Parametric allowance
AST-MASS-146,Habitation,Ring 2 pressure and protection sector 7,300.0,2.5,-12.0,0.0,Class IV,Parametric allowance
AST-MASS-147,Habitation,Ring 2 pressure and protection sector 8,300.0,2.5,-10.3923,-6.0,Class IV,Parametric allowance
AST-MASS-148,Habitation,Ring 2 pressure and protection sector 9,300.0,2.5,-6.0,-10.3923,Class IV,Parametric allowance
AST-MASS-149,Habitation,Ring 2 pressure and protection sector 10,300.0,2.5,-0.0,-12.0,Class IV,Parametric allowance
AST-MASS-150,Habitation,Ring 2 pressure and protection sector 11,300.0,2.5,6.0,-10.3923,Class IV,Parametric allowance
AST-MASS-151,Habitation,Ring 2 pressure and protection sector 12,300.0,2.5,10.3923,-6.0,Class IV,Parametric allowance
AST-MASS-152,Ring mechanism,"Ring 2 bearing, drive and rotary interfaces",1800.0,2.5,0.0,0.0,Class IV,Subsystem allowance
AST-MASS-200,Command,Command and navigation module,2400.0,12.0,0.0,0.0,Class IV,Subsystem allowance
AST-MASS-201,Service,Service and environmental-control module,3000.0,-10.0,0.0,0.0,Class IV,Subsystem allowance
AST-MASS-202,Radiation refuge,Water-shielded storm refuge,2200.0,7.0,0.0,0.0,Class IV,Subsystem allowance
AST-MASS-203,Logistics,Logistics and spares module,1800.0,16.0,0.0,0.0,Class IV,Subsystem allowance
AST-MASS-204,Docking,Forward docking assembly,750.0,21.4,0.0,0.0,Class IV,Subsystem allowance
AST-MASS-221,Power,Deployable solar wing 1,900.0,3.0,15.1,0.0,Class IV,Wing mass allowance
