sequence,x_mm,y_or_z_mm,move
1,-110.0,0.0,cut
2,-91.35593220338983,9.688222831864406,cut
3,-72.71186440677965,12.154008709387359,cut
4,-54.067796610169495,13.093145213783334,cut
5,-35.42372881355932,13.131591012621204,cut
6,-16.779661016949163,12.553778216444817,cut
7,1.8644067796610102,11.527476801085067,cut
8,20.50847457627117,10.161099688295229,cut
9,39.152542372881356,8.524665594891609,cut
10,57.796610169491515,6.659153707348489,cut
11,76.44067796610167,4.5812558626161195,cut
12,95.08474576271186,2.2860240317957685,cut
13,106.27118644067798,-0.7949635789498255,cut
14,87.62711864406782,-3.2313615595915763,cut
15,68.98305084745763,-5.437755149391822,cut
16,50.338983050847446,-7.43127283143383,cut
17,31.694915254237287,-9.208441521036166,cut
18,13.050847457627114,-10.743257484830714,cut
19,-5.593220338983045,-11.983872141657514,cut
20,-24.237288135593218,-12.846440022679634,cut
21,-42.88135593220339,-13.202436300809351,cut
22,-61.52542372881356,-12.848227640188684,cut
23,-80.16949152542372,-11.411767358938496,cut
24,-98.8135593220339,-7.8764373245707064,cut
